# This file contains vdT and corresponding edge winding numbers at 0 gap and pi gap for central flower-like configuration
# The system is a 30x30 system with increasing density of grids to test the convergence. l1=6, l2=8
vdT 0_gap pi_gap
20, 0.9236134886741638, 0.923611044883728
33, 0.955413818359375, 0.9550445079803467
46, 0.9672600030899048, 0.9667345881462097
59, 0.9733957052230835, 0.972763180732727
72, 0.9771329760551453, 0.9764257669448853
85, 0.9796410202980042, 0.9788821935653687
98, 0.981438934803009, 0.9806423783302307
111, 0.9827902317047119, 0.9819648265838623
124, 0.9838426113128662, 0.9829944968223572
137, 0.9846851825714111, 0.9838186502456665
150, 0.985374927520752, 0.9844932556152344
