vdT, LSR
3.499999940395355225e-01,5.721638202667236328e-01
4.000000059604644775e-01,5.731397867202758789e-01
4.500000178813934326e-01,5.666799545288085938e-01
5.000000000000000000e-01,5.676138401031494141e-01
5.500000119209289551e-01,5.577702522277832031e-01
5.710526108741760254e-01,5.559043884277343750e-01
6.000000238418579102e-01,5.546469688415527344e-01
6.499999761581420898e-01,5.482906103134155273e-01
6.999999880790710449e-01,5.401469469070434570e-01
7.500000000000000000e-01,5.334674119949340820e-01
8.000000119209289551e-01,5.251228213310241699e-01
8.315789103507995605e-01,5.266984105110168457e-01
8.500000238418579102e-01,5.190390944480895996e-01
8.999999761581420898e-01,5.149128437042236328e-01
9.142857789993286133e-01,5.148538351058959961e-01
9.499999880790710449e-01,5.111971497535705566e-01
1.000000000000000000e+00,5.058176517486572266e-01
1.092105150222778320e+00,4.964687526226043701e-01
1.352631449699401855e+00,4.707467555999755859e-01
1.613157749176025391e+00,4.500722885131835938e-01
1.728571534156799316e+00,4.450176060199737549e-01
1.873684048652648926e+00,4.338263869285583496e-01
2.134210348129272461e+00,4.211506545543670654e-01
2.394736528396606445e+00,4.174725115299224854e-01
2.542857170104980469e+00,4.116285145282745361e-01
2.655263423919677734e+00,4.145862460136413574e-01
2.915789604187011719e+00,4.103704690933227539e-01
3.176315784454345703e+00,4.056251943111419678e-01
3.357142925262451172e+00,4.043545126914978027e-01
3.436842203140258789e+00,4.060294330120086670e-01
3.697368621826171875e+00,4.000631868839263916e-01
3.957894802093505859e+00,4.023692309856414795e-01
4.171428680419921875e+00,4.072880148887634277e-01
4.218420982360839844e+00,4.010940194129943848e-01
4.478947639465332031e+00,4.059621095657348633e-01
4.739473819732666016e+00,4.060002565383911133e-01
4.985714435577392578e+00,4.026176631450653076e-01
5.000000000000000000e+00,4.031109809875488281e-01
5.800000190734863281e+00,4.020612537860870361e-01
6.614285945892333984e+00,4.086419343948364258e-01
7.428571701049804688e+00,4.127213060855865479e-01
8.242857933044433594e+00,4.213610291481018066e-01
9.057144165039062500e+00,4.295439720153808594e-01
9.871429443359375000e+00,4.381269216537475586e-01
1.068571472167968750e+01,4.537649750709533691e-01
1.150000095367431641e+01,4.699362516403198242e-01
1.231428718566894531e+01,4.879934191703796387e-01
1.312857246398925781e+01,5.069782137870788574e-01
1.394285774230957031e+01,5.271566510200500488e-01
1.475714397430419922e+01,5.434172749519348145e-01
1.557143020629882812e+01,5.604155063629150391e-01
1.638571548461914062e+01,5.744742751121520996e-01
1.720000076293945312e+01,5.816866755485534668e-01
1.801428794860839844e+01,5.888302326202392578e-01
1.882857322692871094e+01,5.937402844429016113e-01
1.964285850524902344e+01,5.982029438018798828e-01
2.045714187622070312e+01,5.972326993942260742e-01
2.127142715454101562e+01,5.958172082901000977e-01
2.208571243286132812e+01,5.945555567741394043e-01
2.289999961853027344e+01,5.917292833328247070e-01
2.371428489685058594e+01,5.897046327590942383e-01
2.452857017517089844e+01,5.882331728935241699e-01
2.534285736083984375e+01,5.814877748489379883e-01
2.615714263916015625e+01,5.770820975303649902e-01
2.697142791748046875e+01,5.702383518218994141e-01
2.778571319580078125e+01,5.668452382087707520e-01
2.859999847412109375e+01,5.581741333007812500e-01
2.941428565979003906e+01,5.497836470603942871e-01
3.022857093811035156e+01,5.444295406341552734e-01
3.104285621643066406e+01,5.357887148857116699e-01
3.185714340209960938e+01,5.294286012649536133e-01
3.267142868041992188e+01,5.183866620063781738e-01
3.348571395874023438e+01,5.133759379386901855e-01
3.429999923706054688e+01,5.073353052139282227e-01
3.511428451538085938e+01,5.009087920188903809e-01
3.592856979370117188e+01,4.965866506099700928e-01
3.674285888671875000e+01,4.889816045761108398e-01
3.755714416503906250e+01,4.852748811244964600e-01
3.837142944335937500e+01,4.817318320274353027e-01
3.918571472167968750e+01,4.778539836406707764e-01
4.000000000000000000e+01,4.683784246444702148e-01
4.125000000000000000e+01,4.610013067722320557e-01
4.250000000000000000e+01,4.592107236385345459e-01
4.375000000000000000e+01,4.534715116024017334e-01
4.500000000000000000e+01,4.490736424922943115e-01
4.625000000000000000e+01,4.468478262424468994e-01
4.750000000000000000e+01,4.391813576221466064e-01
4.875000000000000000e+01,4.381862878799438477e-01
5.000000000000000000e+01,4.373457133769989014e-01
5.125000000000000000e+01,4.314145445823669434e-01
5.250000000000000000e+01,4.253916740417480469e-01
5.375000000000000000e+01,4.284973740577697754e-01
5.500000000000000000e+01,4.234381020069122314e-01
5.625000000000000000e+01,4.232867956161499023e-01
5.750000000000000000e+01,4.199405312538146973e-01
5.875000000000000000e+01,4.214857816696166992e-01
6.000000000000000000e+01,4.144756495952606201e-01
6.125000000000000000e+01,4.112693369388580322e-01
6.250000000000000000e+01,4.149293303489685059e-01
6.375000000000000000e+01,4.121550619602203369e-01
6.500000000000000000e+01,4.085690081119537354e-01
6.625000000000000000e+01,4.136449694633483887e-01
6.750000000000000000e+01,4.104886949062347412e-01
6.875000000000000000e+01,4.076703488826751709e-01
7.000000000000000000e+01,4.127228558063507080e-01
7.157894897460937500e+01,4.070653319358825684e-01
7.315789794921875000e+01,4.068706035614013672e-01
7.473683929443359375e+01,3.992267847061157227e-01
7.631578826904296875e+01,4.051195085048675537e-01
7.789473724365234375e+01,4.024205803871154785e-01
7.947368621826171875e+01,4.053435325622558594e-01
8.105263519287109375e+01,4.030245840549468994e-01
8.263157653808593750e+01,4.021232128143310547e-01
8.421052551269531250e+01,4.025228321552276611e-01
8.578947448730468750e+01,3.999364376068115234e-01
8.736842346191406250e+01,3.968644142150878906e-01
8.894736480712890625e+01,3.979436159133911133e-01
9.052631378173828125e+01,4.002120792865753174e-01
9.210526275634765625e+01,4.003983139991760254e-01
