vdT,LSR
# average over 100 disorder realisations
5.000000074505805969e-02,2.851091623306274414e-01
1.000000014901161194e-01,3.491244912147521973e-01
1.500000059604644775e-01,3.885559439659118652e-01
2.000000029802322388e-01,4.357251524925231934e-01
2.500000000000000000e-01,4.775975048542022705e-01
3.000000119209289551e-01,5.058994293212890625e-01
3.499999940395355225e-01,5.240873098373413086e-01
4.000000059604644775e-01,5.355584621429443359e-01
4.500000178813934326e-01,5.456812381744384766e-01
5.000000000000000000e-01,5.543717741966247559e-01
5.500000119209289551e-01,5.613545179367065430e-01
6.000000238418579102e-01,5.663997530937194824e-01
6.499999761581420898e-01,5.710422992706298828e-01
6.999999880790710449e-01,5.752575397491455078e-01
7.500000000000000000e-01,5.779599547386169434e-01
8.000000119209289551e-01,5.767244696617126465e-01
8.500000238418579102e-01,5.752369165420532227e-01
8.999999761581420898e-01,5.729914903640747070e-01
9.499999880790710449e-01,5.696908235549926758e-01
1.000000000000000000e+00,5.684505105018615723e-01
1.000000000000000000e+00,5.725616216659545898e-01
1.448275804519653320e+00,5.561036467552185059e-01
1.896551728248596191e+00,5.155781507492065430e-01
2.344827651977539062e+00,5.096058845520019531e-01
2.793103456497192383e+00,4.856905341148376465e-01
3.241379261016845703e+00,4.752944409847259521e-01
3.689655303955078125e+00,4.789460003376007080e-01
4.137930870056152344e+00,4.780903458595275879e-01
4.586206912994384766e+00,4.717371165752410889e-01
5.034482955932617188e+00,4.761084020137786865e-01
5.482758522033691406e+00,4.772067070007324219e-01
5.931034564971923828e+00,4.785953164100646973e-01
6.379310607910156250e+00,4.838030934333801270e-01
6.827586174011230469e+00,4.903683066368103027e-01
7.275862216949462891e+00,4.895803332328796387e-01
7.724137783050537109e+00,4.871281087398529053e-01
8.172413825988769531e+00,5.040785670280456543e-01
8.620689392089843750e+00,5.078600049018859863e-01
9.068965911865234375e+00,5.033671259880065918e-01
9.517241477966308594e+00,5.206509232521057129e-01
9.965517044067382812e+00,5.237324833869934082e-01
1.041379356384277344e+01,5.300613045692443848e-01
1.086206912994384766e+01,5.333831310272216797e-01
1.131034469604492188e+01,5.384251475334167480e-01
1.175862026214599609e+01,5.502515435218811035e-01
1.220689678192138672e+01,5.520874261856079102e-01
1.265517234802246094e+01,5.582007169723510742e-01
1.310344791412353516e+01,5.667207837104797363e-01
1.355172443389892578e+01,5.651881098747253418e-01
1.400000000000000000e+01,5.740778446197509766e-01
1.400000000000000000e+01,5.735784173011779785e-01
1.489655208587646484e+01,5.730977654457092285e-01
1.579310321807861328e+01,5.885051488876342773e-01
1.668965530395507812e+01,5.782473087310791016e-01
1.758620643615722656e+01,5.818488597869873047e-01
1.848275947570800781e+01,5.879408121109008789e-01
1.937931060791015625e+01,5.958642363548278809e-01
2.027586174011230469e+01,5.954704284667968750e-01
2.117241287231445312e+01,5.945515632629394531e-01
2.206896591186523438e+01,5.931912064552307129e-01
2.296551704406738281e+01,5.973330140113830566e-01
2.386206817626953125e+01,5.981577634811401367e-01
2.475862121582031250e+01,5.878850221633911133e-01
2.565517234802246094e+01,5.816695094108581543e-01
2.655172348022460938e+01,5.867830514907836914e-01
2.744827651977539062e+01,5.777484178543090820e-01
2.834482765197753906e+01,5.743778347969055176e-01
2.924137878417968750e+01,5.740694403648376465e-01
3.013793182373046875e+01,5.705046057701110840e-01
3.103448295593261719e+01,5.673050880432128906e-01
3.193103408813476562e+01,5.722205638885498047e-01
3.282758712768554688e+01,5.702922940254211426e-01
3.372413635253906250e+01,5.671985745429992676e-01
3.462068939208984375e+01,5.607731342315673828e-01
3.551724243164062500e+01,5.581877231597900391e-01
3.641379165649414062e+01,5.560576915740966797e-01
3.731034469604492188e+01,5.471497774124145508e-01
3.820689773559570312e+01,5.384222269058227539e-01
3.910344696044921875e+01,5.454218387603759766e-01
4.000000000000000000e+01,5.404195189476013184e-01
4.000000000000000000e+01,5.474098324775695801e-01
4.125000000000000000e+01,5.432322025299072266e-01
4.250000000000000000e+01,5.365554094314575195e-01
4.375000000000000000e+01,5.337647795677185059e-01
4.500000000000000000e+01,5.306318402290344238e-01
4.625000000000000000e+01,5.313960313796997070e-01
4.750000000000000000e+01,5.183481574058532715e-01
4.875000000000000000e+01,5.181598067283630371e-01
5.000000000000000000e+01,5.084292292594909668e-01
5.125000000000000000e+01,5.075702071189880371e-01
5.250000000000000000e+01,4.984973669052124023e-01
5.375000000000000000e+01,5.062071084976196289e-01
5.500000000000000000e+01,4.899266958236694336e-01
5.625000000000000000e+01,5.007199645042419434e-01
5.750000000000000000e+01,4.861059486865997314e-01
5.875000000000000000e+01,4.878720641136169434e-01
6.000000000000000000e+01,4.926404953002929688e-01
6.125000000000000000e+01,4.868259429931640625e-01
6.250000000000000000e+01,4.942448735237121582e-01
6.375000000000000000e+01,4.848705232143402100e-01
6.500000000000000000e+01,4.813385307788848877e-01
6.625000000000000000e+01,4.776694774627685547e-01
6.750000000000000000e+01,4.823213517665863037e-01
6.875000000000000000e+01,4.754855334758758545e-01
7.000000000000000000e+01,4.710747301578521729e-01
7.000000000000000000e+01,4.652012288570404053e-01
7.157894897460937500e+01,4.678095281124114990e-01
7.315789794921875000e+01,4.650989174842834473e-01
7.473683929443359375e+01,4.664979577064514160e-01
7.631578826904296875e+01,4.643145203590393066e-01
7.789473724365234375e+01,4.528343975543975830e-01
7.947368621826171875e+01,4.638124704360961914e-01
8.105263519287109375e+01,4.440082907676696777e-01
8.263157653808593750e+01,4.607090950012207031e-01
8.421052551269531250e+01,4.589230716228485107e-01
8.578947448730468750e+01,4.478404521942138672e-01
8.736842346191406250e+01,4.533730447292327881e-01
8.894736480712890625e+01,4.587085545063018799e-01
9.052631378173828125e+01,4.543087780475616455e-01
9.210526275634765625e+01,4.533543586730957031e-01
9.368421173095703125e+01,4.480509459972381592e-01
9.526316070556640625e+01,4.451761245727539062e-01
9.684210205078125000e+01,4.425528645515441895e-01
9.842105102539062500e+01,4.398460984230041504e-01
1.000000000000000000e+02,4.531911313533782959e-01
