vdT,LSR
# phi1=0, phi2=0
4.000000059604644775e-01,4.881238498381405000e-01
8.689655065536499023e-01,4.838457736510086704e-01
1.337931036949157715e+00,4.521865659095168355e-01
1.806896567344665527e+00,4.851768683816778949e-01
2.275862216949462891e+00,4.305756109474782045e-01
2.744827747344970703e+00,4.332841482472077899e-01
3.213793277740478516e+00,4.670624117485545068e-01
3.682758808135986328e+00,4.913201392129888379e-01
4.151724338531494141e+00,4.555120958303257583e-01
4.620689868927001953e+00,3.659033081859226488e-01
5.089655399322509766e+00,4.057811396491612377e-01
5.558620929718017578e+00,4.077694289913703085e-01
6.027586460113525391e+00,3.713402382988263972e-01
6.496551990509033203e+00,3.834398542964291834e-01
6.965517520904541016e+00,3.559063122775351085e-01
7.434482574462890625e+00,3.093071869930930085e-01
7.903448104858398438e+00,3.834431432912160931e-01
8.372413635253906250e+00,3.436427466634372485e-01
8.841379165649414062e+00,2.602760637216740558e-01
9.310344696044921875e+00,2.468570944219826147e-01
9.779310226440429688e+00,2.650458742239836796e-01
1.024827575683593750e+01,3.209798789654657036e-01
1.071724128723144531e+01,3.756725897041107709e-01
1.118620681762695312e+01,4.728382521490290258e-01
1.165517234802246094e+01,4.147618646944377652e-01
1.212413787841796875e+01,4.163976106559251766e-01
1.259310340881347656e+01,4.161990029965202953e-01
1.306206893920898438e+01,4.391918838506447820e-01
1.353103446960449219e+01,4.734049731863900767e-01
1.400000000000000000e+01,4.347876389951318421e-01
1.400000000000000000e+01,4.347876389951318421e-01
1.489655208587646484e+01,3.895228987471643367e-01
1.579310321807861328e+01,3.888573651158218625e-01
1.668965530395507812e+01,4.505310557327729115e-01
1.758620643615722656e+01,4.795774105870548309e-01
1.848275947570800781e+01,4.803451818621950475e-01
1.937931060791015625e+01,5.891051653287490142e-01
2.027586174011230469e+01,6.378335293935220029e-01
2.117241287231445312e+01,5.261570830800871290e-01
2.206896591186523438e+01,5.947062944846905896e-01
2.296551704406738281e+01,5.098267803252348740e-01
2.386206817626953125e+01,5.796055893664173730e-01
2.475862121582031250e+01,5.024272121387831636e-01
2.565517234802246094e+01,6.505401736019980063e-01
2.655172348022460938e+01,5.821507084646133645e-01
2.744827651977539062e+01,5.552469543069791236e-01
2.834482765197753906e+01,6.115149355121446417e-01
2.924137878417968750e+01,5.873898492558519147e-01
3.013793182373046875e+01,5.574085626288102224e-01
3.103448295593261719e+01,4.988643339931077003e-01
3.193103408813476562e+01,4.964369781548409466e-01
3.282758712768554688e+01,5.311773726695537823e-01
3.372413635253906250e+01,4.715274804672834330e-01
3.462068939208984375e+01,5.623040798557438213e-01
3.551724243164062500e+01,5.748801011969606467e-01
3.641379165649414062e+01,4.961537063152346438e-01
3.731034469604492188e+01,4.749524860223859890e-01
3.820689773559570312e+01,4.772897214929681664e-01
3.910344696044921875e+01,4.977585121518163791e-01
4.000000000000000000e+01,5.670295436292502878e-01
4.000000000000000000e+01,5.670295436292502878e-01
4.125000000000000000e+01,5.067334815436813633e-01
4.250000000000000000e+01,4.724951799596712188e-01
4.375000000000000000e+01,4.903324905957396340e-01
4.500000000000000000e+01,3.625479796438333402e-01
4.625000000000000000e+01,5.196421062867714324e-01
4.750000000000000000e+01,4.883967311781668430e-01
4.875000000000000000e+01,4.417621142808472734e-01
5.000000000000000000e+01,5.399734300683097787e-01
5.125000000000000000e+01,4.292915727629700307e-01
5.250000000000000000e+01,4.837331057523158728e-01
5.375000000000000000e+01,4.790025395332735969e-01
5.500000000000000000e+01,4.607937585626971644e-01
5.625000000000000000e+01,4.049388829242568932e-01
5.750000000000000000e+01,3.764093232378747933e-01
5.875000000000000000e+01,4.404031840891845517e-01
6.000000000000000000e+01,4.034243215708744335e-01
6.125000000000000000e+01,4.589265982448362813e-01
6.250000000000000000e+01,4.194777345816648184e-01
6.375000000000000000e+01,4.436300667200586134e-01
6.500000000000000000e+01,4.644342715443076086e-01
6.625000000000000000e+01,4.136989543167907124e-01
6.750000000000000000e+01,4.405637887535759356e-01
6.875000000000000000e+01,4.734312656454399137e-01
7.000000000000000000e+01,4.272674902215692350e-01
7.000000000000000000e+01,4.272674902215692350e-01
7.157894897460937500e+01,4.660291242644958309e-01
7.315789794921875000e+01,4.705007019093878085e-01
7.473683929443359375e+01,4.439103296459383508e-01
7.631578826904296875e+01,3.885020002712982756e-01
7.789473724365234375e+01,4.399518360127512850e-01
7.947368621826171875e+01,4.260951419226759462e-01
8.105263519287109375e+01,4.249720364548043028e-01
8.263157653808593750e+01,5.045439638535215154e-01
8.421052551269531250e+01,3.892993777714107151e-01
8.578947448730468750e+01,4.294616354676812353e-01
8.736842346191406250e+01,3.578715195522143011e-01
8.894736480712890625e+01,4.762552378581548229e-01
9.052631378173828125e+01,4.107355197813783998e-01
9.210526275634765625e+01,4.186690422150152746e-01
9.368421173095703125e+01,4.505530752250898052e-01
9.526316070556640625e+01,4.681152883032934087e-01
9.684210205078125000e+01,4.683240705310734997e-01
9.842105102539062500e+01,4.285973309522418950e-01
1.000000000000000000e+02,3.669819574251790839e-01
1.000000000000000000e+02,3.669819574251790839e-01
1.015789489746093750e+02,3.493824342460900012e-01
1.031578979492187500e+02,4.696598963006684557e-01
1.047368392944335938e+02,3.431106651702033883e-01
1.063157882690429688e+02,3.797985411331050720e-01
1.078947372436523438e+02,3.639443395750694421e-01
1.094736862182617188e+02,3.768385889803468336e-01
1.110526351928710938e+02,4.336821498098514804e-01
1.126315765380859375e+02,3.747721160589778666e-01
1.142105255126953125e+02,4.563566276129153998e-01
1.157894744873046875e+02,3.731793128074281096e-01
1.173684234619140625e+02,4.455410573572466393e-01
1.189473648071289062e+02,3.751328307592022293e-01
1.205263137817382812e+02,3.298766057259114315e-01
1.221052627563476562e+02,3.834176065963020852e-01
1.236842117309570312e+02,4.323492636027198577e-01
1.252631607055664062e+02,3.787753830338842498e-01
1.268421020507812500e+02,4.181581751622732157e-01
1.284210510253906250e+02,2.794928071212830489e-01
1.300000000000000000e+02,3.605952978376019136e-01
1.300000000000000000e+02,3.605952978376019136e-01
1.315789489746093750e+02,2.855097180407345503e-01
1.331578979492187500e+02,3.194460687780275032e-01
1.347368469238281250e+02,3.050793398713497195e-01
1.363157958984375000e+02,3.304664226379164238e-01
1.378947296142578125e+02,3.769912292256296649e-01
1.394736785888671875e+02,3.109324674881241979e-01
1.410526275634765625e+02,3.627349187415131460e-01
1.426315765380859375e+02,4.263915542107097889e-01
1.442105255126953125e+02,3.528362229981207854e-01
1.457894744873046875e+02,3.483698919812883155e-01
1.473684234619140625e+02,4.028044582082945246e-01
1.489473724365234375e+02,2.723529675363927649e-01
1.505263214111328125e+02,4.218291569996782675e-01
1.521052703857421875e+02,2.752342547768357739e-01
1.536842041015625000e+02,3.058947598762968845e-01
1.552631530761718750e+02,2.732885239317416337e-01
1.568421020507812500e+02,2.867075533642383101e-01
1.584210510253906250e+02,3.869024698046807931e-01
1.600000000000000000e+02,2.735835012142111000e-01
1.600000000000000000e+02,2.735835012142111000e-01
1.631578979492187500e+02,3.042532615088590631e-01
1.663157958984375000e+02,3.069668462070724857e-01
1.694736785888671875e+02,3.205763518798631084e-01
1.726315765380859375e+02,2.588045253860339900e-01
1.757894744873046875e+02,3.540494512645125380e-01
1.789473724365234375e+02,2.962353519082880915e-01
1.821052703857421875e+02,3.259619910722845182e-01
1.852631530761718750e+02,2.671568941167848377e-01
1.884210510253906250e+02,2.589341152834305770e-01
1.915789489746093750e+02,4.193828103747969105e-01
1.947368469238281250e+02,3.622102837436523837e-01
1.978947296142578125e+02,2.581877990276529866e-01
2.010526275634765625e+02,2.509362710190949364e-01
2.042105255126953125e+02,3.030692407185242576e-01
2.073684234619140625e+02,2.821190434254459700e-01
2.105263214111328125e+02,3.337832958194243416e-01
2.136842041015625000e+02,3.617556480662690310e-01
2.168421020507812500e+02,3.554293777745185512e-01
2.200000000000000000e+02,3.290708225638888651e-01
2.200000000000000000e+02,3.290708225638888651e-01
2.215789489746093750e+02,2.777176497806447819e-01
2.231578979492187500e+02,2.698159539442035459e-01
2.247368469238281250e+02,4.370998144785963602e-01
2.263157958984375000e+02,2.742480526167785371e-01
2.278947296142578125e+02,3.200154588402649436e-01
2.294736785888671875e+02,2.608930582845585544e-01
2.310526275634765625e+02,2.564818158555370875e-01
2.326315765380859375e+02,2.485935313606380814e-01
2.342105255126953125e+02,2.231031473740040516e-01
2.357894744873046875e+02,2.488491881265729178e-01
2.373684234619140625e+02,2.496435341668400143e-01
2.389473724365234375e+02,3.012203307189062484e-01
2.405263214111328125e+02,3.284255894753970173e-01
2.421052703857421875e+02,2.026354270330303631e-01
2.436842041015625000e+02,2.681901613069992418e-01
2.452631530761718750e+02,2.707168238114676106e-01
2.468421020507812500e+02,2.683366096734177697e-01
2.484210510253906250e+02,3.161631673096603201e-01
2.500000000000000000e+02,2.624540025563352197e-01
2.500000000000000000e+02,2.624540025563352197e-01
2.526315765380859375e+02,2.006852467013234276e-01
2.552631530761718750e+02,2.187151873419547476e-01
2.578947448730468750e+02,3.055370490254943894e-01
2.605263061523437500e+02,2.768875307098923599e-01
2.631578979492187500e+02,2.174340985022326644e-01
2.657894592285156250e+02,2.586319122016639827e-01
2.684210510253906250e+02,1.553814924472829151e-01
2.710526428222656250e+02,2.153950039045488263e-01
2.736842041015625000e+02,2.068001620244122873e-01
2.763157958984375000e+02,2.104431487344535223e-01
2.789473571777343750e+02,2.257668755825957829e-01
2.815789489746093750e+02,2.561069071003684305e-01
2.842105407714843750e+02,2.128409482805095065e-01
2.868421020507812500e+02,2.284700724896312762e-01
2.894736938476562500e+02,1.945680513998176708e-01
2.921052551269531250e+02,2.156182978417496843e-01
2.947368469238281250e+02,2.378599845487633091e-01
2.973684082031250000e+02,2.200731758183330500e-01
3.000000000000000000e+02,2.919411549535566031e-01
3.000000000000000000e+02,2.919411549535566031e-01
3.068965454101562500e+02,2.360521693770983587e-01
3.137930908203125000e+02,1.803804525863786090e-01
3.206896667480468750e+02,2.894150795413756860e-01
3.275862121582031250e+02,2.225477374349515425e-01
3.344827575683593750e+02,1.804652450350286430e-01
3.413793029785156250e+02,2.422155473959581584e-01
3.482758483886718750e+02,2.863932508347344363e-01
3.551724243164062500e+02,1.526861008794996588e-01
3.620689697265625000e+02,2.307142620699176860e-01
3.689655151367187500e+02,1.991331262964649573e-01
3.758620605468750000e+02,2.565937548126111523e-01
3.827586059570312500e+02,2.733368335542756822e-01
3.896551818847656250e+02,2.624082869672891838e-01
3.965517272949218750e+02,1.824171074565673067e-01
4.034482727050781250e+02,2.972157083372181652e-01
4.103448181152343750e+02,2.722573849990125860e-01
4.172413940429687500e+02,2.270799263493258335e-01
4.241379394531250000e+02,1.875679174748043909e-01
4.310344848632812500e+02,2.125430680061013988e-01
4.379310302734375000e+02,2.491352310591030683e-01
4.448275756835937500e+02,1.910566034925856860e-01
4.517241516113281250e+02,3.634238635389084315e-01
4.586206970214843750e+02,3.096866529132301649e-01
4.655172424316406250e+02,2.294180895933893294e-01
4.724137878417968750e+02,1.792849869343632330e-01
4.793103332519531250e+02,1.672140314680002904e-01
4.862069091796875000e+02,1.718376333116194976e-01
4.931034545898437500e+02,3.027826680922307001e-01
5.000000000000000000e+02,2.302118894640974023e-01
5.000000000000000000e+02,2.302118894640974023e-01
5.172413940429687500e+02,2.917981300562228486e-01
5.344827880859375000e+02,2.639985470121992139e-01
5.517241210937500000e+02,2.452689245972301535e-01
5.689655151367187500e+02,1.813575208325953758e-01
5.862069091796875000e+02,2.151365254125102711e-01
6.034482421875000000e+02,2.250370262251533693e-01
6.206896362304687500e+02,2.273160503015861922e-01
6.379310302734375000e+02,2.147090075216073479e-01
6.551724243164062500e+02,1.526775882644711702e-01
6.724138183593750000e+02,1.214242275077258432e-01
6.896551513671875000e+02,1.803450332209443618e-01
7.068965454101562500e+02,1.699361884214134477e-01
7.241379394531250000e+02,2.165804734571543377e-01
7.413792724609375000e+02,1.696506648125484240e-01
7.586207275390625000e+02,2.307200586583517676e-01
7.758620605468750000e+02,1.770460085568474895e-01
7.931034545898437500e+02,2.212887561551664106e-01
8.103448486328125000e+02,1.812056841893412706e-01
8.275861816406250000e+02,2.092142154350493111e-01
8.448275756835937500e+02,1.682881945214707298e-01
8.620689697265625000e+02,2.191301388558341001e-01
8.793103637695312500e+02,2.400880725152112760e-01
8.965517578125000000e+02,1.736732628479812357e-01
9.137930908203125000e+02,1.276693813828616575e-01
9.310344848632812500e+02,2.364666176336383541e-01
9.482758789062500000e+02,1.787463976748087657e-01
9.655172119140625000e+02,2.085372116828795030e-01
9.827586059570312500e+02,1.663732440882891295e-01
1.000000000000000000e+03,2.066471272650179103e-01
1.000000000000000000e+03,2.066471272650179103e-01
1.017241394042968750e+03,1.866949547593882708e-01
1.034482788085937500e+03,1.968312283294923193e-01
1.051724121093750000e+03,1.248039214153685988e-01
1.068965576171875000e+03,2.365121215207353356e-01
1.086206909179687500e+03,2.443334863264870205e-01
1.103448242187500000e+03,2.030772137245071274e-01
1.120689697265625000e+03,1.887327145037036857e-01
1.137931030273437500e+03,2.305112451565935472e-01
1.155172363281250000e+03,1.461049530713327549e-01
1.172413818359375000e+03,1.829025793899085595e-01
1.189655151367187500e+03,2.147286982971017832e-01
1.206896484375000000e+03,2.201605246382359604e-01
1.224137939453125000e+03,1.922657987442531746e-01
1.241379272460937500e+03,2.023687337613196691e-01
1.258620727539062500e+03,1.957881781775388519e-01
1.275862060546875000e+03,1.850774697234990329e-01
1.293103515625000000e+03,1.876912487636232529e-01
1.310344848632812500e+03,2.347641604565130768e-01
1.327586181640625000e+03,2.780991390040558620e-01
1.344827636718750000e+03,1.624994571404407284e-01
1.362068969726562500e+03,1.728654603751913488e-01
1.379310302734375000e+03,1.747398702932800030e-01
1.396551757812500000e+03,1.387585785338548150e-01
1.413793090820312500e+03,1.928140663517394493e-01
1.431034423828125000e+03,1.968387303348017314e-01
1.448275878906250000e+03,2.075275128412406300e-01
1.465517211914062500e+03,1.764064806559864362e-01
1.482758666992187500e+03,1.982351675721034101e-01
1.500000000000000000e+03,1.394734370376845556e-01
1.500000000000000000e+03,1.394734370376845556e-01
1.517241333007812500e+03,1.435196492711892646e-01
1.534482788085937500e+03,1.862192552851286709e-01
1.551724121093750000e+03,2.570334884253726582e-01
1.568965576171875000e+03,2.004585802192430932e-01
1.586206909179687500e+03,1.753852717085837287e-01
1.603448242187500000e+03,2.380289636902050421e-01
1.620689697265625000e+03,2.088983653471197799e-01
1.637931030273437500e+03,1.886214427619610778e-01
1.655172363281250000e+03,1.861674013292198837e-01
1.672413818359375000e+03,1.879098053221432141e-01
1.689655151367187500e+03,2.665381730441542252e-01
1.706896484375000000e+03,1.533369888338047549e-01
1.724137939453125000e+03,1.639930593074263865e-01
1.741379272460937500e+03,1.423258833351902508e-01
1.758620727539062500e+03,2.166891359993927679e-01
1.775862060546875000e+03,1.408950486890622744e-01
1.793103515625000000e+03,1.702660893978105716e-01
1.810344848632812500e+03,1.730700359719748171e-01
1.827586181640625000e+03,1.713659449317362360e-01
1.844827636718750000e+03,1.619133682971960198e-01
1.862068969726562500e+03,1.687024273216294890e-01
1.879310302734375000e+03,2.009630641936624995e-01
1.896551757812500000e+03,1.025417439881938092e-01
1.913793090820312500e+03,1.540455109622837770e-01
1.931034423828125000e+03,1.978330919986725223e-01
1.948275878906250000e+03,1.404666948737485210e-01
1.965517211914062500e+03,1.606379161412760104e-01
1.982758666992187500e+03,1.148656304073164686e-01
2.000000000000000000e+03,1.650810053026666724e-01
