vdT,LSR
# phi1=0, phi2=0
4.000000059604644775e-01,5.215993732817783002e-01
8.689655065536499023e-01,5.195340386110298692e-01
1.337931036949157715e+00,4.118609563811789775e-01
1.806896567344665527e+00,3.377671444039603288e-01
2.275862216949462891e+00,2.933654170745065848e-01
2.744827747344970703e+00,2.586554661537523447e-01
3.213793277740478516e+00,2.403662338170061696e-01
3.682758808135986328e+00,2.128068891632243775e-01
4.151724338531494141e+00,1.964838154541048432e-01
4.620689868927001953e+00,1.856676251510998021e-01
5.089655399322509766e+00,1.775935484044458557e-01
5.558620929718017578e+00,1.755597893298650181e-01
6.027586460113525391e+00,1.673962663455563216e-01
6.496551990509033203e+00,1.702429345156020735e-01
6.965517520904541016e+00,1.942350763344593556e-01
7.434482574462890625e+00,1.841250955346846463e-01
7.903448104858398438e+00,2.013209676982124774e-01
8.372413635253906250e+00,2.050323881370161028e-01
8.841379165649414062e+00,2.114409906421240992e-01
9.310344696044921875e+00,2.202153280143782366e-01
9.779310226440429688e+00,2.293191484198554564e-01
1.024827575683593750e+01,2.300309851372643599e-01
1.071724128723144531e+01,2.309599062280301984e-01
1.118620681762695312e+01,2.492450701590718243e-01
1.165517234802246094e+01,2.647370237414382044e-01
1.212413787841796875e+01,2.710966180418628579e-01
1.259310340881347656e+01,2.717420804220667119e-01
1.306206893920898438e+01,2.921692404819966615e-01
1.353103446960449219e+01,3.084927827452750848e-01
1.400000000000000000e+01,3.200317527743387069e-01
1.400000000000000000e+01,3.200317527743387069e-01
1.489655208587646484e+01,3.220355234102101893e-01
1.579310321807861328e+01,3.629554273759689198e-01
1.668965530395507812e+01,3.768761033743264766e-01
1.758620643615722656e+01,3.808272052478939851e-01
1.848275947570800781e+01,4.061638505512882302e-01
1.937931060791015625e+01,4.153291966513822375e-01
2.027586174011230469e+01,4.390776789542061853e-01
2.117241287231445312e+01,4.203613051551899349e-01
2.206896591186523438e+01,4.460773890294146282e-01
2.296551704406738281e+01,4.513835573610012752e-01
2.386206817626953125e+01,4.593151467733364024e-01
2.475862121582031250e+01,4.603307630704361886e-01
2.565517234802246094e+01,4.943748819355353596e-01
2.655172348022460938e+01,4.750612109588637777e-01
2.744827651977539062e+01,4.817286693201842107e-01
2.834482765197753906e+01,4.639019518149397614e-01
2.924137878417968750e+01,4.900418413980900390e-01
3.013793182373046875e+01,4.862221239742143819e-01
3.103448295593261719e+01,4.994830826261412171e-01
3.193103408813476562e+01,4.895949605616805589e-01
3.282758712768554688e+01,5.191073454056009950e-01
3.372413635253906250e+01,4.718038521098489868e-01
3.462068939208984375e+01,5.047953277053787158e-01
3.551724243164062500e+01,4.991741103483611219e-01
3.641379165649414062e+01,4.850295846350852202e-01
3.731034469604492188e+01,5.079444317314144586e-01
3.820689773559570312e+01,4.991827780091431799e-01
3.910344696044921875e+01,4.920304248548444392e-01
4.000000000000000000e+01,5.131046881419670802e-01
4.000000000000000000e+01,5.131046881419670802e-01
4.125000000000000000e+01,5.211858066955045166e-01
4.250000000000000000e+01,5.086275247996235871e-01
4.375000000000000000e+01,5.085771584335886386e-01
4.500000000000000000e+01,4.989378504506745138e-01
4.625000000000000000e+01,4.935134399473072309e-01
4.750000000000000000e+01,4.850144061219917591e-01
4.875000000000000000e+01,4.946417559253279417e-01
5.000000000000000000e+01,4.604951348455724180e-01
5.125000000000000000e+01,4.625180827437697650e-01
5.250000000000000000e+01,4.619557197675977500e-01
5.375000000000000000e+01,4.442925472650413599e-01
5.500000000000000000e+01,4.610314043441032794e-01
5.625000000000000000e+01,4.409471626664872579e-01
5.750000000000000000e+01,4.511467373483315502e-01
5.875000000000000000e+01,4.495081293266672828e-01
6.000000000000000000e+01,4.314418041889124256e-01
6.125000000000000000e+01,4.211900083902994085e-01
6.250000000000000000e+01,4.405923739757338087e-01
6.375000000000000000e+01,4.209512650283911417e-01
6.500000000000000000e+01,3.928539208821293371e-01
6.625000000000000000e+01,4.094732586398000529e-01
6.750000000000000000e+01,4.077868650445675702e-01
6.875000000000000000e+01,3.844480129475988939e-01
7.000000000000000000e+01,3.988630801174992691e-01
7.157894897460937500e+01,3.930406502003223057e-01
7.315789794921875000e+01,3.780424321199336579e-01
7.473683929443359375e+01,3.639417421305589651e-01
7.631578826904296875e+01,3.758244266231062225e-01
7.789473724365234375e+01,3.588866901189232683e-01
7.947368621826171875e+01,3.540313091268402212e-01
8.105263519287109375e+01,3.641118689873883429e-01
8.263157653808593750e+01,3.494083797965311655e-01
8.421052551269531250e+01,3.408999138945609797e-01
8.578947448730468750e+01,3.522810872692622719e-01
8.736842346191406250e+01,3.299091862887048587e-01
8.894736480712890625e+01,3.437696592669017837e-01
9.052631378173828125e+01,3.212126072571578894e-01
9.210526275634765625e+01,3.261505976711893129e-01
9.368421173095703125e+01,3.310005572897517512e-01
9.526316070556640625e+01,3.195627495802925710e-01
9.684210205078125000e+01,3.149409940170132538e-01
9.842105102539062500e+01,3.087715008371360037e-01
1.000000000000000000e+02,3.243974436784259341e-01
1.000000000000000000e+02,3.243974436784259341e-01
