vdT,LSR
# phi1=2, phi2=2pi/3
4.000000059604644775e-01,4.227557882593019345e-01
8.689655065536499023e-01,4.721321219579329154e-01
1.337931036949157715e+00,4.685260364273279299e-01
1.806896567344665527e+00,4.421519093926801758e-01
2.275862216949462891e+00,4.962254084861542625e-01
2.744827747344970703e+00,4.640543579186378054e-01
3.213793277740478516e+00,4.809639330678225910e-01
3.682758808135986328e+00,4.113582369939393080e-01
4.151724338531494141e+00,3.203916337560525629e-01
4.620689868927001953e+00,3.878632911338395495e-01
5.089655399322509766e+00,4.689063002169614469e-01
5.558620929718017578e+00,4.419778491552494581e-01
6.027586460113525391e+00,4.253561176988056580e-01
6.496551990509033203e+00,4.316397669571870876e-01
6.965517520904541016e+00,4.554525570068088669e-01
7.434482574462890625e+00,4.621015290556503285e-01
7.903448104858398438e+00,4.881197664901766875e-01
8.372413635253906250e+00,5.237135574397743243e-01
8.841379165649414062e+00,5.006430445515457350e-01
9.310344696044921875e+00,5.745581127982769543e-01
9.779310226440429688e+00,5.646634134506922642e-01
1.024827575683593750e+01,5.352787176724359552e-01
1.071724128723144531e+01,4.621168212703296585e-01
1.118620681762695312e+01,4.941154253379373418e-01
1.165517234802246094e+01,5.436248531239734616e-01
1.212413787841796875e+01,4.958534887095396582e-01
1.259310340881347656e+01,5.127005826092990715e-01
1.306206893920898438e+01,5.235405830507506852e-01
1.353103446960449219e+01,4.924464781310381456e-01
1.400000000000000000e+01,5.658366407431429934e-01
1.400000000000000000e+01,5.658366407431429934e-01
1.489655208587646484e+01,5.815791709902691231e-01
1.579310321807861328e+01,6.971989081336315008e-01
1.668965530395507812e+01,6.198075220416089381e-01
1.758620643615722656e+01,6.001936334738052770e-01
1.848275947570800781e+01,6.219611434858589583e-01
1.937931060791015625e+01,5.183318357196287085e-01
2.027586174011230469e+01,5.505633804439512557e-01
2.117241287231445312e+01,4.969231575355377850e-01
2.206896591186523438e+01,5.940986986793419522e-01
2.296551704406738281e+01,5.282222667107501213e-01
2.386206817626953125e+01,5.858693325409290997e-01
2.475862121582031250e+01,5.862096578906048627e-01
2.565517234802246094e+01,5.978757714413949209e-01
2.655172348022460938e+01,6.022330088703808926e-01
2.744827651977539062e+01,6.122694323376465242e-01
2.834482765197753906e+01,6.352455122007313326e-01
2.924137878417968750e+01,6.054267307295353451e-01
3.013793182373046875e+01,6.578179040744928097e-01
3.103448295593261719e+01,6.608223454327600832e-01
3.193103408813476562e+01,5.828358087584066816e-01
3.282758712768554688e+01,6.184963041258296768e-01
3.372413635253906250e+01,6.767578452229625618e-01
3.462068939208984375e+01,5.870473530049608035e-01
3.551724243164062500e+01,4.799018697267609102e-01
3.641379165649414062e+01,5.113027567332373291e-01
3.731034469604492188e+01,5.633345356321686204e-01
3.820689773559570312e+01,4.490910748679171061e-01
3.910344696044921875e+01,4.362845337007016933e-01
4.000000000000000000e+01,4.874548299043593991e-01
4.000000000000000000e+01,4.874548299043593991e-01
4.125000000000000000e+01,5.009543353894372331e-01
4.250000000000000000e+01,6.205778487534046040e-01
4.375000000000000000e+01,4.904796169109975068e-01
4.500000000000000000e+01,5.666638086740513058e-01
4.625000000000000000e+01,4.901664232235090624e-01
4.750000000000000000e+01,5.481198831394472615e-01
4.875000000000000000e+01,6.150523561041226772e-01
5.000000000000000000e+01,6.038779551398459899e-01
5.125000000000000000e+01,5.680219515410163122e-01
5.250000000000000000e+01,5.980013503133887465e-01
5.375000000000000000e+01,5.123371077516658545e-01
5.500000000000000000e+01,5.094458049809852396e-01
5.625000000000000000e+01,5.970609862039230054e-01
5.750000000000000000e+01,6.187202364074008143e-01
5.875000000000000000e+01,5.024383966418252134e-01
