vdT,LSR
0.000000000000000000e+00,1.473290144481891745e-02
4.827586114406585693e-01,5.176822589725579293e-01
9.655172228813171387e-01,4.560612251209813506e-01
1.448275804519653320e+00,3.129536463372233901e-01
1.931034445762634277e+00,2.585673225492574057e-01
2.413793087005615234e+00,2.230231990292616262e-01
2.896551609039306641e+00,1.918987313027114006e-01
3.379310369491577148e+00,1.643667599971597448e-01
3.862068891525268555e+00,1.376646529552200127e-01
4.344827651977539062e+00,1.260210247655741134e-01
4.827586174011230469e+00,1.211079302425599052e-01
5.310344696044921875e+00,1.147465971534040174e-01
5.793103218078613281e+00,1.108471140024264306e-01
6.275861740112304688e+00,1.136309782052190714e-01
6.758620738983154297e+00,1.140389932509625892e-01
7.241379261016845703e+00,1.155364669379390780e-01
7.724138259887695312e+00,1.155932039848816262e-01
8.206896781921386719e+00,1.264194230929940044e-01
8.689655303955078125e+00,1.385682762857008421e-01
9.172413825988769531e+00,1.543754300343327113e-01
9.655172348022460938e+00,1.743570494425761286e-01
1.013793087005615234e+01,1.681876067269639785e-01
1.062068939208984375e+01,1.771547314965913056e-01
1.110344791412353516e+01,1.866027548398865865e-01
1.158620738983154297e+01,2.080957572454976978e-01
1.206896591186523438e+01,2.253487738653197625e-01
1.255172443389892578e+01,2.375304240331606587e-01
1.303448295593261719e+01,2.479229987323015305e-01
1.351724147796630859e+01,2.674857039376882240e-01
1.400000000000000000e+01,2.882180159505002837e-01
1.400000000000000000e+01,2.882180159505002282e-01
1.489655208587646484e+01,3.102399504117006046e-01
1.579310321807861328e+01,3.348992688170745469e-01
1.668965530395507812e+01,3.567019272754456405e-01
1.758620643615722656e+01,3.875830575471667094e-01
1.848275947570800781e+01,4.090480277645128226e-01
1.937931060791015625e+01,4.163706385283572065e-01
2.027586174011230469e+01,4.521578806033946796e-01
2.117241287231445312e+01,4.470100660771076373e-01
2.206896591186523438e+01,4.559142738899538139e-01
2.296551704406738281e+01,4.669365160101989209e-01
2.386206817626953125e+01,4.697951832886257395e-01
2.475862121582031250e+01,4.980187476993805928e-01
2.565517234802246094e+01,4.908957696913471280e-01
2.655172348022460938e+01,4.992083025982132494e-01
2.744827651977539062e+01,4.913633847804257382e-01
2.834482765197753906e+01,4.961590139743900507e-01
2.924137878417968750e+01,5.057762576596591675e-01
3.013793182373046875e+01,4.878256534288156199e-01
3.103448295593261719e+01,5.025936995414700403e-01
3.193103408813476562e+01,4.955736200281102843e-01
3.282758712768554688e+01,4.958426233947951789e-01
3.372413635253906250e+01,4.901703557176430581e-01
3.462068939208984375e+01,4.970534468427423858e-01
3.551724243164062500e+01,4.966074512537116958e-01
3.641379165649414062e+01,4.947125315380729860e-01
3.731034469604492188e+01,5.091290093995366473e-01
3.820689773559570312e+01,5.007363931865068674e-01
3.910344696044921875e+01,4.914375194008003822e-01
4.000000000000000000e+01,4.847068578121375704e-01
4.125000000000000000e+01,4.876864331938980945e-01
4.250000000000000000e+01,4.819239487283781265e-01
4.375000000000000000e+01,4.745006310434988217e-01
4.500000000000000000e+01,4.695887440828337422e-01
4.625000000000000000e+01,4.753595265935017800e-01
4.750000000000000000e+01,4.715866091265594751e-01
4.875000000000000000e+01,4.540008254175122993e-01
5.000000000000000000e+01,4.453620835770221165e-01
5.125000000000000000e+01,4.494284615431567431e-01
5.250000000000000000e+01,4.520479492083279704e-01
5.375000000000000000e+01,4.331302684675240044e-01
5.500000000000000000e+01,4.273428204257775920e-01
5.625000000000000000e+01,4.374825320064182343e-01
5.750000000000000000e+01,4.372672493298386809e-01
5.875000000000000000e+01,4.357330427421204355e-01
6.000000000000000000e+01,4.165082613080228757e-01
6.125000000000000000e+01,4.177713360086560135e-01
6.250000000000000000e+01,4.074407723107947299e-01
6.375000000000000000e+01,3.903128371147182030e-01
6.500000000000000000e+01,3.893585238727794162e-01
6.625000000000000000e+01,3.810584528853357411e-01
6.750000000000000000e+01,3.843622343029313160e-01
6.875000000000000000e+01,3.689816486515224980e-01
7.000000000000000000e+01,3.615338243108096039e-01
7.157894897460937500e+01,3.535421804272448898e-01
7.315789794921875000e+01,3.568467267242927954e-01
7.473683929443359375e+01,3.392127546635427815e-01
7.631578826904296875e+01,3.426619216159480508e-01
7.789473724365234375e+01,3.356629086782611515e-01
7.947368621826171875e+01,3.346179213188573698e-01
8.105263519287109375e+01,3.250078113215897901e-01
8.263157653808593750e+01,3.214863123100014097e-01
8.421052551269531250e+01,3.330124285575163934e-01
8.578947448730468750e+01,3.206448209636854063e-01
8.736842346191406250e+01,3.205540637086187750e-01
8.894736480712890625e+01,3.151343191893581364e-01
9.052631378173828125e+01,3.227268307301629502e-01
9.210526275634765625e+01,3.082453884868789906e-01
9.368421173095703125e+01,3.078222343046556619e-01
9.526316070556640625e+01,3.062840677074697981e-01
9.684210205078125000e+01,3.005612769484590219e-01
9.842105102539062500e+01,3.065495066799220902e-01
1.000000000000000000e+02,2.961133053654527725e-01
1.015789489746093750e+02,2.995937582165866808e-01
1.031578979492187500e+02,2.962224331880909389e-01
1.047368392944335938e+02,2.814655707549870156e-01
1.063157882690429688e+02,2.917089622205848998e-01
1.078947372436523438e+02,2.909665180848156063e-01
1.094736862182617188e+02,2.948973626356160560e-01
1.110526351928710938e+02,2.845295456901146269e-01
1.126315765380859375e+02,2.866260504440991674e-01
1.142105255126953125e+02,2.713185779080377058e-01
1.157894744873046875e+02,2.888944113829027271e-01
1.173684234619140625e+02,2.907968202392819945e-01
1.189473648071289062e+02,2.739571169217833169e-01
1.205263137817382812e+02,2.730962219564293525e-01
1.221052627563476562e+02,2.813358992751942012e-01
1.236842117309570312e+02,2.755031054332603424e-01
1.252631607055664062e+02,2.721302301105627541e-01
1.268421020507812500e+02,2.695680892218121349e-01
1.284210510253906250e+02,2.746829275011937743e-01
1.300000000000000000e+02,2.757197414768463029e-01
1.315789489746093750e+02,2.544943439435699561e-01
1.331578979492187500e+02,2.614544723476943666e-01
1.347368469238281250e+02,2.539791238344341062e-01
1.363157958984375000e+02,2.632453756932174871e-01
1.378947296142578125e+02,2.642894819451884203e-01
1.394736785888671875e+02,2.575263597392902781e-01
1.410526275634765625e+02,2.566145074289349348e-01
1.426315765380859375e+02,2.540074188317385517e-01
1.442105255126953125e+02,2.569926568059868188e-01
1.457894744873046875e+02,2.713426702067995300e-01
1.473684234619140625e+02,2.663291979571811852e-01
1.489473724365234375e+02,2.719604964083393028e-01
1.505263214111328125e+02,2.713946147494455952e-01
1.521052703857421875e+02,2.686568923529879527e-01
1.536842041015625000e+02,2.676238508972887398e-01
1.552631530761718750e+02,2.708647360208928934e-01
1.568421020507812500e+02,2.756893084429315466e-01
1.584210510253906250e+02,2.700491321721522620e-01
1.600000000000000000e+02,2.674805946142967961e-01
1.631578979492187500e+02,2.625902672830968676e-01
1.663157958984375000e+02,2.685745429005406693e-01
1.694736785888671875e+02,2.694050197394221580e-01
1.726315765380859375e+02,2.656754745043815591e-01
1.757894744873046875e+02,2.720960767787781731e-01
1.789473724365234375e+02,2.669641256035272248e-01
1.821052703857421875e+02,2.614723329771668769e-01
1.852631530761718750e+02,2.441464668301426000e-01
1.884210510253906250e+02,2.557636779304520158e-01
1.915789489746093750e+02,2.578714731618449996e-01
1.947368469238281250e+02,2.571753481862461554e-01
1.978947296142578125e+02,2.592108423439356546e-01
2.010526275634765625e+02,2.526559866686393097e-01
2.042105255126953125e+02,2.465539166273969518e-01
2.073684234619140625e+02,2.589116868129556770e-01
2.105263214111328125e+02,2.659683132711539444e-01
2.136842041015625000e+02,2.546200200508762501e-01
2.168421020507812500e+02,2.583370901307780465e-01
2.200000000000000000e+02,2.536430982759257380e-01
2.215789489746093750e+02,2.487933122446505108e-01
2.231578979492187500e+02,2.587304642871935956e-01
2.247368469238281250e+02,2.568911577372659516e-01
2.263157958984375000e+02,2.517900481848491800e-01
2.278947296142578125e+02,2.432968779826860939e-01
2.294736785888671875e+02,2.519287820664924404e-01
2.310526275634765625e+02,2.453117213312015765e-01
2.326315765380859375e+02,2.485954412378598155e-01
2.342105255126953125e+02,2.476471197487483400e-01
2.357894744873046875e+02,2.349584319861700576e-01
2.373684234619140625e+02,2.338844679707693941e-01
2.389473724365234375e+02,2.337809691131851886e-01
2.405263214111328125e+02,2.473096874409997370e-01
2.421052703857421875e+02,2.455420958768755324e-01
2.436842041015625000e+02,2.409556786921934202e-01
2.452631530761718750e+02,2.506595107964614821e-01
2.468421020507812500e+02,2.414399325885122349e-01
2.484210510253906250e+02,2.350996110564157748e-01
2.500000000000000000e+02,2.406819872017123829e-01
2.500000000000000000e+02,2.406819872017123829e-01
2.526315765380859375e+02,2.472321664627670501e-01
2.552631530761718750e+02,2.420317874657705870e-01
2.578947448730468750e+02,2.335371913990192116e-01
2.605263061523437500e+02,2.403799419842943819e-01
2.631578979492187500e+02,2.326900420930644031e-01
2.657894592285156250e+02,2.245724976031226172e-01
2.684210510253906250e+02,2.213280044520745671e-01
2.710526428222656250e+02,2.257237762383940416e-01
2.736842041015625000e+02,2.178873524134944117e-01
2.763157958984375000e+02,2.127713637125471513e-01
2.789473571777343750e+02,2.210570435795932431e-01
2.815789489746093750e+02,2.217508617514238889e-01
2.842105407714843750e+02,2.270727752741151517e-01
2.868421020507812500e+02,2.221579684059005466e-01
2.894736938476562500e+02,2.132057392450605326e-01
2.921052551269531250e+02,2.205025237709885011e-01
2.947368469238281250e+02,2.219159399733636184e-01
2.973684082031250000e+02,2.116004041233541799e-01
3.000000000000000000e+02,2.111583215295457228e-01
3.000000000000000000e+02,2.111583215295457228e-01
3.068965454101562500e+02,2.081623032996507972e-01
3.137930908203125000e+02,2.002054451556969095e-01
3.206896667480468750e+02,2.145747792374426421e-01
3.275862121582031250e+02,2.042708441272590159e-01
3.344827575683593750e+02,1.844974129837489984e-01
3.413793029785156250e+02,1.930803091285386575e-01
3.482758483886718750e+02,1.845390317500307797e-01
3.551724243164062500e+02,1.841425067101195856e-01
3.620689697265625000e+02,2.023991727994969847e-01
3.689655151367187500e+02,1.750242316506753770e-01
3.758620605468750000e+02,1.647170125229881488e-01
3.827586059570312500e+02,1.585635552242116719e-01
3.896551818847656250e+02,1.663571890487110794e-01
3.965517272949218750e+02,1.755916505746847600e-01
4.034482727050781250e+02,1.539512020989280416e-01
4.103448181152343750e+02,1.534618826320718332e-01
4.172413940429687500e+02,1.513246663578488305e-01
4.241379394531250000e+02,1.486893475669437692e-01
4.310344848632812500e+02,1.468453070513711101e-01
4.379310302734375000e+02,1.385833950678876658e-01
4.448275756835937500e+02,1.230753137136242764e-01
4.517241516113281250e+02,1.341719406973127249e-01
4.586206970214843750e+02,1.335909923644174602e-01
4.655172424316406250e+02,1.456260889715415008e-01
4.724137878417968750e+02,1.389081303006119428e-01
4.793103332519531250e+02,1.282738665194482763e-01
4.862069091796875000e+02,1.342061826772778244e-01
4.931034545898437500e+02,1.296963780916673414e-01
5.000000000000000000e+02,1.258244421493419640e-01
5.000000000000000000e+02,1.258244421493419363e-01
5.172413940429687500e+02,1.116993191936192370e-01
5.344827880859375000e+02,1.169560334840326482e-01
5.517241210937500000e+02,1.093513883412065568e-01
5.689655151367187500e+02,1.116526737092078808e-01
5.862069091796875000e+02,1.009247581077295786e-01
6.034482421875000000e+02,1.028501476487388572e-01
6.206896362304687500e+02,9.180671103219600893e-02
6.379310302734375000e+02,9.297703737459660223e-02
6.551724243164062500e+02,9.007843409078765406e-02
6.724138183593750000e+02,9.603466846676990409e-02
6.896551513671875000e+02,7.614687329419593531e-02
7.068965454101562500e+02,9.587146210719539596e-02
7.241379394531250000e+02,8.319981499891444809e-02
7.413792724609375000e+02,7.601052604111716016e-02
7.586207275390625000e+02,6.399838871122326411e-02
7.758620605468750000e+02,8.009088398456855329e-02
7.931034545898437500e+02,6.911005187069667322e-02
8.103448486328125000e+02,6.702168057505042409e-02
8.275861816406250000e+02,7.540342998836603583e-02
8.448275756835937500e+02,6.371012749988690105e-02
8.620689697265625000e+02,6.777223144600696969e-02
8.793103637695312500e+02,5.936204276686169595e-02
8.965517578125000000e+02,4.904703013806589046e-02
9.137930908203125000e+02,7.221256820396831921e-02
9.310344848632812500e+02,7.052023226939660439e-02
9.482758789062500000e+02,5.774934680298909190e-02
9.655172119140625000e+02,6.850001094920475653e-02
9.827586059570312500e+02,5.331458810310460428e-02
1.000000000000000000e+03,5.206378112198279534e-02
1.000000000000000000e+03,5.206378112198279534e-02
1.017241394042968750e+03,6.089225394320957330e-02
1.034482788085937500e+03,5.396584656183433387e-02
1.051724121093750000e+03,6.076791170498298256e-02
1.068965576171875000e+03,5.559252724437425269e-02
1.086206909179687500e+03,5.591231954518765396e-02
